Name,M1,M2,M3,Support,Temperature,Ar_flow,CH4_flow,O2_flow,C2y
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,2.25,8.5,4.25,1.893506985
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,700,1.5,7.285714286,1.214285714,1.822569325
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,8,8,4,1.753655521
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,4,4,2,1.718834715
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,700,2.25,10.2,2.55,1.68048055
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,4,4.8,1.2,1.667405016
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,700,8,8,4,1.635837231
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,6,7.2,1.8,1.572239787
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,10.5,3.857142857,0.642857143,1.521020106
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,750,14,4,2,1.504763873
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,2.25,10.92857143,1.821428571,1.44143613
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,4,4.8,1.2,1.439074881
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,6,6,3,1.415575656
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,4,4.8,1.2,1.325896764
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,750,4,4,2,1.280441747
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,8,9.6,2.4,1.272523496
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,750,10.5,3.857142857,0.642857143,1.247545719
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,4,5.142857143,0.857142857,1.246486096
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,750,1.5,5.666666667,2.833333333,1.222279377
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,700,1.5,5.666666667,2.833333333,1.148489946
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,3,11.33333333,5.666666667,1.144531783
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,10.5,3.857142857,0.642857143,1.105085564
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,750,8,9.6,2.4,1.087885353
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,2.25,10.2,2.55,1.075620458
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,750,6,6,3,1.023705205
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,10.5,3.6,0.9,0.994515082
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,2.25,10.92857143,1.821428571,0.992434296
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,750,10.5,3,1.5,0.959745205
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,14,4.8,1.2,0.958232786
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,6,7.714285714,1.285714286,0.924225094
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,700,3,14.57142857,2.428571429,0.922080646
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,4,5.142857143,0.857142857,0.895879552
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,6,7.714285714,1.285714286,0.812138736
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,6,7.2,1.8,0.762432047
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,750,1.5,7.285714286,1.214285714,0.739481653
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,1.5,7.285714286,1.214285714,0.680831913
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,10.5,3,1.5,0.616696202
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,750,14,5.142857143,0.857142857,0.516074013
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,3,13.6,3.4,0.48044213
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,3,14.57142857,2.428571429,0.471942486
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,8,10.28571429,1.714285714,0.291478223
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,8,9.6,2.4,0.212466598
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,10.5,3.6,0.9,0.009846332
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,750,6,7.2,1.8,0
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,14,4.8,1.2,0
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,10.5,3.6,0.9,0
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,14,4.8,1.2,0
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,10.5,3,1.5,0
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,7,2.571428571,0.428571429,0
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,14,4,2,0
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,7,2.4,0.6,0
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,750,6,6,3,19.12759426
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,750,14,4,2,18.92890521
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,750,10.5,3,1.5,18.69756714
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,700,2.25,8.5,4.25,18.68300243
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,750,8,8,4,18.56533134
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,750,2.25,8.5,4.25,18.50868539
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,700,8,8,4,18.42866259
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,750,4,4,2,18.29110483
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,750,1.5,5.666666667,2.833333333,18.27743436
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,750,7,2,1,18.2676537
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,700,3,11.33333333,5.666666667,17.99406742
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,750,3,13.6,3.4,17.75582874
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,750,8,9.6,2.4,17.61927863
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,700,6,6,3,17.61202326
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,700,1.5,5.666666667,2.833333333,17.52905235
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,750,14,4.8,1.2,17.50903791
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,750,2.25,10.2,2.55,17.47215883
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,750,3,11.33333333,5.666666667,17.28265391
