support,promoters,formula,predicted_max_yield,ensemble_std,nn_distance,min_element_support,tier
Ba,Fe+Eu+Ti,Ba(90.0) Fe(3.33) Eu(3.33) Ti(3.33),17.35,0.217,2.435,74,IN_SUPPORT
Ba,W+Li+Eu,Ba(90.0) W(3.33) Li(3.33) Eu(3.33),17.347,0.151,2.496,74,IN_SUPPORT
Ba,W+Y+Eu,Ba(90.0) W(3.33) Y(3.33) Eu(3.33),17.343,0.126,3.34,74,IN_SUPPORT
Ba,W+Fe+Nd,Ba(90.0) W(3.33) Fe(3.33) Nd(3.33),17.34,0.183,2.288,83,IN_SUPPORT
Ba,Mo+Hf+Eu,Ba(90.0) Mo(3.33) Hf(3.33) Eu(3.33),17.328,0.161,2.792,74,IN_SUPPORT
Ba,Mo+Tb,Ba(93.3) Mo(3.33) Tb(3.33),17.324,0.186,0.137,75,IN_SUPPORT
Ba,Mo+Y+Nd,Ba(90.0) Mo(3.33) Y(3.33) Nd(3.33),17.324,0.167,2.438,83,IN_SUPPORT
Ba,Mo+La+V,Ba(90.0) Mo(3.33) La(3.33) V(3.33),17.322,0.202,0.2,73,IN_SUPPORT
Ba,Zn+Na+Eu,Ba(90.0) Zn(3.33) Na(3.33) Eu(3.33),17.319,0.222,3.06,74,IN_SUPPORT
Ba,Mo+Sr+Ti,Ba(90.0) Mo(3.33) Sr(3.33) Ti(3.33),17.308,0.101,0.137,67,IN_SUPPORT
Ba,Mo+K+Nd,Ba(90.0) Mo(3.33) K(3.33) Nd(3.33),17.307,0.072,3.114,83,IN_SUPPORT
Ba,Y+La+Eu,Ba(90.0) Y(3.33) La(3.33) Eu(3.33),17.307,0.125,2.493,74,IN_SUPPORT
Ba,Mo+Mg+Zr,Ba(90.0) Mo(3.33) Mg(3.33) Zr(3.33),17.305,0.114,0.299,121,IN_SUPPORT
Ba,W+Tb+Eu,Ba(90.0) W(3.33) Tb(3.33) Eu(3.33),17.301,0.113,3.059,74,IN_SUPPORT
Ba,Cs+Mo+Mg,Ba(90.0) Cs(3.33) Mo(3.33) Mg(3.33),17.299,0.08,0.177,121,IN_SUPPORT
